id	page	class	headline	n_words	n_clauses	violation	body
E702	27	EVERGREEN	Pit person limit during ceremonies is 5.	38	0		No more than 5 team members may be in the pits during ceremonies outside of playoff MATCHES. Each team must have at least 1 representative observing  ceremonies to be responsible to relay important information to the entire team.
E703	27	EVERGREEN	Be respectful during anthems.	73	0		Team members, including any remaining in the pits, should exhibit peaceful behavior during the presentation of all national anthems. Traditionally, team members stand  to face the flag, remove hats, and either sing along or maintain a respectful silence during the anthems  of all nations present at the event. If team members wish to abstain, they have a right to do so, as long  as they remain silent and non-disruptive.  5.8 In the Stands
E801	28	EVERGREEN	No saving seats.	18	0		Teams are not permitted to save or designate seats for team members that are not actively using them.
E802	28	EVERGREEN	No throwing items from the stands.	799	0		Items may not be thrown from audience seating. 6 Awards (A)  FIRST Tech Challenge celebrates the excitement of competition both on and off the field. Through the  following awards, we celebrate the FIRST Core Values which makes us so much #morethanrobots. Please note  that different event types (e.g., League Tournaments, Regional Championship, FIRST Championship) or event  sizes may offer different sets of awards. Not every award is presented at every FIRST Tech Challenge event.  No awards are presented at League Meets, see section 14 League Play Tournaments (L), additional  details by event type are available in the sections below.  Judged awards are determined by volunteers from the community who prepare for the event with thorough  training and certification. There are 2 key judging volunteer roles:  • JUDGES - meet with teams to learn about and celebrate the unique journey and accomplishments of  each team and evaluate these against award requirements. JUDGES interact with STUDENTS during  the interview process, and in the pits. As a group, JUDGES determine the teams that receive awards at  events.   • JUDGE advisor (JA) - trains, directs, and supervises JUDGES throughout the event. JUDGE advisors  oversee the judging processes and procedures to make sure they are in accordance with FIRST Tech  Challenge judging guidelines.  FIRST Tech Challenge judging is delivered in one of two ways. Most events will have in-person ("traditional")  judging along with the standard in-person gameplay. The second is hybrid format which has in-person  gameplay, but judging is done remotely before in-person gameplay. This manual will primarily describe the  traditional in person judging process. The remote judging process follows the same overall judging standards  and requirements, but interviews are conducted online, and no face-to-face meetings are required.   Teams may also read the Judge and Judge Advisor Manuals to gain more insight into the complete judging  process.  6.1 Team Judged Awards Overview and Schedule  Most FIRST Tech Challenge awards fall into two broad categories: Machine, Creativity, and Innovation (MCI),  and Team Attributes (TA), with two additional special awards: Inspire and Think (Figure 6-1).   Figure 6-1: Award hierarchy  - MCI awards recognize the technical accomplishments of teams in the planning, design,  construction, operation, and control of their ROBOTS.  - TA awards recognize teams who have developed strong partnerships with their community. This  includes recruiting members, fund-raising, and the teams' outreach efforts to spread FIRST's  message about the benefits that can come from the study of math, science, and technology.  - The Think Award recognizes teams who masterfully document their team's process and product  using their PORTFOLIO.  - The Inspire Award recognizes teams who excel in MCI, TA, and Think award accomplishments. This  team is an all-around inspiration for others   The JUDGES will gather information from the teams through several different pathways (Figure 6-2).  All teams  will have the opportunity to submit a written PORTFOLIO which should document aspects of their teams which  directly support the judged award criteria or information which they wish the JUDGES to consider. All teams  are encouraged to prepare for a judging interview session where the team can present a prepared oral  presentation to a small panel of JUDGES about their team followed by a Q&A session. After all the judging  panels have finished, the JUDGES compare notes and may elect to follow up with the teams in the pit area  during the competition and conduct more informal pit interviews. JUDGES may also accept feedback about  teams at the event from other event volunteers to help inform their understanding of the team.  Figure 6-2: Sources of information for Judged Awards  Judging  Pit  Interview Interview(s) Event  PORTFOLIO Volunteer  Feedback Judged  Awards In addition to the specific information sources JUDGES use to evaluate teams, there are also sources of  information which are specifically disallowed. JUDGES are strictly instructed to only consider information from  the current event and the current season and cannot consider information from outside what they have seen or  heard at the current event. This means that information like past performance (good or bad), personal  knowledge of a team, and external sources like websites and social media are not considered. JUDGES also do  not consider overall ROBOT performance in an award unless it is specifically listed as part of the required or  encouraged evaluation criteria.   The awards are a method FIRST uses to inspire STUDENTS and open their eyes to building a better future  together. The awards process should foster a positive STUDENT interaction with JUDGES who are successful  professionals and can recognize their achievements and encourage them to continue learning.  All award winners chosen by the JUDGES are recognized as being positive examples of the award guidelines,  not necessarily the "best" team.   Teams may participate in judging regardless of the inspection status of their ROBOT and are eligible for  awards even if they are attending the event without a ROBOT.
A101	31	EVERGREEN	Team PORTFOLIOS have limits.	162	0		Teams have the opportunity to submit a team PORTFOLIO to be used as part of the judging process. No other printed or digital content not directly included in this document  will be collected by the JUDGES to consider during deliberations. PORTFOLIOS must meet the following  requirements:  A.must consist of 1 cover page including the team number and optionally: team name,  PORTFOLIO table of contents, team organizations, sponsors, logo, motto, and picture of the  ROBOT and/or team.  B.no more than 15 pages of judged content (if printing front and back, 8 sheets of paper, including  the cover page)  C.use only US Letter (8.5" x 11") or A4 (210 x 297 mm) size paper.  D.font minimum of 10 point or larger  E.if submitted digitally, the complete submission must be less than 15MB in size.  F.must only include progress, challenges, and accomplishments which take place during the  current season and, for returning teams, after the conclusion of their last official event that they  participated in.
A102	32	EVERGREEN	PORTFOLIOS must be submitted on time as requested.	45	0		To be considered as part of the judging process a team must submit their PORTFOLIO as instructed by the Event Director and by the stated  deadline. If no other instructions are provided, teams should submit 1 printed copy of their PORTFOLIO  during the judging interview.
A103	32	EVERGREEN	Teams must attend a judging interview session.	16	0		To be considered for any judged awards the team must attend their assigned judging interview session.
A104	32	EVERGREEN	Bring the right resources with you to your judging interview.	72	0		Teams attending their judging interview time slot should come prepared with the following:  A.no less than 2 STUDENT representatives for teams of 2 STUDENTS and larger,  B.a copy of their team PORTFOLIO (optional, submit as instructed by the Event Director)  C."show and tell" demonstration items which may include the team's ROBOT (encouraged, but  optional)  D.1 silent observer per A108 (optional)  E.1 support person to fill accommodations needs per A109 (optional, as needed)
A105	32	EVERGREEN	Everyone gets equal judging interview time.	30	0		All teams will be scheduled for the same length judging interview of at least 10 minutes with a minimum of 10 minutes reserved between judging interviews for  JUDGES to confer.
A106	32	EVERGREEN	The judging interview timer starts when the team starts.	52	0		The timer starts after the team has entered the room and when they begin their presentation. Teams who take an extended amount of time to  begin will be warned by the JUDGES to begin promptly and then the judging interview timer will be  started regardless of the readiness of the presenting team.
A107	33	EVERGREEN	Prepared formal presentation time should not be interrupted.	53	0		The first 5 minutes of the judging interview are reserved for the team to present a prepared oral presentation uninterrupted, if they  choose. The uninterrupted presentation time may be ended early by the team. Any remaining time  should be a back-and-forth question and answer-type conversation with the STUDENTS and led by the  JUDGES.
A108	33	EVERGREEN	One adult silent observer is welcome.	66	0		One adult mentor may attend the judging session and be present for any interaction between the JUDGES and the STUDENT team members. Adult mentor(s)  may be present for any interactions between the JUDGES and the STUDENT team members outside of  the formal scheduled interview. The adult observer and mentor(s) may not interact or coach actively  during any interaction between the JUDGES and the STUDENT team members.
A109	33	EVERGREEN	Translator accommodations will be made for teams who need it.	87	0		Teams who need to use a translator to communicate with the JUDGE panel may provide one if the team's native language does not match  that of the event host site provided JUDGES.  This includes sign language or other adaptive technology.  Teams who intend to interview with the assistance of a translator should work with the Event Director  in advance to request additional interview time of between 2 and 5 minutes. The translator may be an  adult and can be in addition to the silent observer in A108.
A110	33	EVERGREEN	No Video or Audio recording during judging interview.	19	0		In addition to the restrictions of E117, teams may not record any video or audio during their judging interview.
